"Story","Title","Result","Date","Stability","Duration (s)"
"Git hub test","Test git hub user","SUCCESS","2021-04-16T11:10:45.785-04:00[America/New_York]","0.0","1.82"
"Git hub test","Test git hub user2","SUCCESS","2021-04-16T11:10:47.607-04:00[America/New_York]","0.0","1.54"
"Git hub test","Test git hub user3","SUCCESS","2021-04-16T11:10:49.149-04:00[America/New_York]","0.0","0.37"
"Spartan admin test","Test Admin GET /spartans endpoint","FAILURE","2021-04-16T11:10:50.562-04:00[America/New_York]","0.0","0.43"
"Spartans users role test","Iteration 1 - GET /spartans/1","SUCCESS","2021-04-16T11:10:51.173-04:00[America/New_York]","0.0","0.26"
"Spartans users role test","Iteration 2 - GET /spartans/3","SUCCESS","2021-04-16T11:10:51.44-04:00[America/New_York]","0.0","0.27"
"Spartans users role test","Iteration 3 - GET /spartans/5","SUCCESS","2021-04-16T11:10:51.709-04:00[America/New_York]","0.0","0.24"
"Spartans users role test","Iteration 4 - GET /spartans/7","SUCCESS","2021-04-16T11:10:51.949-04:00[America/New_York]","0.0","0.24"
"Spartans users role test","Iteration 5 - GET /spartans/8000","FAILURE","2021-04-16T11:10:52.19-04:00[America/New_York]","0.0","0.3"
"Spartans users role test","Iteration 6 - GET /spartans/99","SUCCESS","2021-04-16T11:10:52.487-04:00[America/New_York]","0.0","0.23"
